# started_utc=2025-11-04T11:27:19.811647Z
# rows=3
# cols=2
# threshold_init=30
# threshold_mode_init=global
t_iso,loop_idx,auto_mode,dn_state,profile,exposure_locked,threshold_mode,threshold_value,dark_cutoff,overall_dark,S00_dark,S01_dark,S10_dark,S11_dark,S20_dark,S21_dark,DAC_HF1,DAC_HF2,DAC_HS11,DAC_HS12,DAC_HS21,DAC_HS22,DAC_LF1,DAC_LF2,DAC_LS1,DAC_LS2
2025-11-04T11:27:32.805874Z,100,1,0,Classroom,0,global,30,30,16,6,7,36,29,13,4,0,0,0,0,36,31,0,0,0,0
2025-11-04T11:27:32.930001Z,101,1,0,Classroom,0,global,30,30,13,5,6,29,25,11,3,0,0,0,0,39,28,0,0,0,0
2025-11-04T11:27:33.063995Z,102,1,0,Classroom,0,global,30,30,12,5,6,24,23,10,3,0,0,0,0,42,25,0,0,0,0
2025-11-04T11:27:33.194503Z,103,1,0,Classroom,0,global,30,30,11,5,6,21,23,9,3,0,0,0,0,40,23,0,0,0,0
2025-11-04T11:27:33.318860Z,104,1,0,Classroom,0,global,30,30,11,5,5,18,23,8,3,0,0,0,0,37,22,0,0,0,0
2025-11-04T11:27:33.441107Z,105,1,0,Classroom,0,global,30,30,10,4,6,16,23,8,3,0,0,0,0,34,20,0,0,0,0
2025-11-04T11:27:33.566966Z,106,1,0,Classroom,0,global,30,30,10,4,6,15,24,8,4,0,0,0,0,31,19,0,0,0,0
2025-11-04T11:27:33.689802Z,107,1,0,Classroom,0,global,30,30,10,4,6,14,27,7,4,0,0,0,0,28,19,0,0,0,0
2025-11-04T11:27:33.815854Z,108,1,0,Classroom,0,global,30,30,11,4,6,16,28,8,5,0,0,0,0,25,21,0,0,0,0
2025-11-04T11:27:33.942533Z,109,1,0,Classroom,0,global,30,30,12,4,7,19,30,8,6,0,0,0,0,22,20,0,0,0,0
2025-11-04T11:27:34.068446Z,110,1,0,Classroom,0,global,30,30,14,5,8,22,33,9,6,0,0,0,0,19,23,0,0,0,0
2025-11-04T11:27:34.193911Z,111,1,0,Classroom,0,global,30,30,15,5,8,26,35,9,8,0,0,0,0,17,25,0,0,0,0
2025-11-04T11:27:34.318487Z,112,1,0,Classroom,0,global,30,30,16,5,8,30,36,10,7,0,0,0,0,19,28,0,0,0,0
2025-11-04T11:27:34.441481Z,113,1,0,Classroom,0,global,30,30,17,6,8,34,35,11,6,0,0,0,0,22,27,0,0,0,0
2025-11-04T11:27:34.566937Z,114,1,0,Classroom,0,global,30,30,18,6,9,40,37,12,7,0,0,0,0,25,30,0,0,0,0
2025-11-04T11:27:34.689579Z,115,1,0,Classroom,0,global,30,30,19,6,8,44,34,14,6,0,0,0,0,28,30,0,0,0,0
2025-11-04T11:27:34.814368Z,116,1,0,Classroom,0,global,30,30,19,6,8,46,33,16,5,0,0,0,0,31,31,0,0,0,0
2025-11-04T11:27:34.945363Z,117,1,0,Classroom,0,global,30,30,17,6,7,39,29,14,4,0,0,0,0,34,29,0,0,0,0
2025-11-04T11:27:35.071073Z,118,1,0,Classroom,0,global,30,30,16,6,7,35,30,12,4,0,0,0,0,36,30,0,0,0,0
2025-11-04T11:27:35.198326Z,119,1,0,Classroom,0,global,30,30,13,5,7,28,27,10,4,0,0,0,0,34,27,0,0,0,0
2025-11-04T11:27:35.322771Z,120,1,0,Classroom,0,global,30,30,12,5,6,24,25,10,4,0,0,0,0,31,25,0,0,0,0
2025-11-04T11:27:35.446827Z,121,1,0,Classroom,0,global,30,30,11,5,6,21,24,9,4,0,0,0,0,28,22,0,0,0,0
2025-11-04T11:27:35.579206Z,122,1,0,Classroom,0,global,30,30,11,5,6,19,25,8,4,0,0,0,0,25,22,0,0,0,0
2025-11-04T11:27:35.701472Z,123,1,0,Classroom,0,global,30,30,10,5,6,17,24,8,3,0,0,0,0,22,19,0,0,0,0
2025-11-04T11:27:35.826566Z,124,1,0,Classroom,0,global,30,30,12,5,6,20,27,9,4,0,0,0,0,19,20,0,0,0,0
2025-11-04T11:27:35.949718Z,125,1,0,Classroom,0,global,30,30,13,5,7,23,29,9,5,0,0,0,0,16,22,0,0,0,0
2025-11-04T11:27:36.074989Z,126,1,0,Classroom,0,global,30,30,15,5,8,28,33,10,6,0,0,0,0,19,24,0,0,0,0
2025-11-04T11:27:36.197659Z,127,1,0,Classroom,0,global,30,30,16,6,8,32,34,11,6,0,0,0,0,21,26,0,0,0,0
2025-11-04T11:27:36.322378Z,128,1,0,Classroom,0,global,30,30,19,6,9,41,38,13,8,0,0,0,0,24,29,0,0,0,0
2025-11-04T11:27:36.445510Z,129,1,0,Classroom,0,global,30,30,20,7,9,47,37,14,7,0,0,0,0,27,30,0,0,0,0
2025-11-04T11:27:36.570491Z,130,1,0,Classroom,0,global,30,30,21,7,9,52,36,18,6,0,0,0,0,30,32,0,0,0,0
2025-11-04T11:27:36.694135Z,131,1,0,Classroom,0,global,30,30,18,6,8,42,32,14,5,0,0,0,0,33,30,0,0,0,0
2025-11-04T11:27:36.819977Z,132,1,0,Classroom,0,global,30,30,16,6,7,37,30,13,4,0,0,0,0,36,29,0,0,0,0
2025-11-04T11:27:36.943549Z,133,1,0,Classroom,0,global,30,30,14,6,6,30,27,11,4,0,0,0,0,37,26,0,0,0,0
2025-11-04T11:27:37.068133Z,134,1,0,Classroom,0,global,30,30,13,5,6,25,26,10,3,0,0,0,0,34,26,0,0,0,0
2025-11-04T11:27:37.194211Z,135,1,0,Classroom,0,global,30,30,11,5,6,21,24,9,3,0,0,0,0,31,23,0,0,0,0
2025-11-04T11:27:37.318386Z,136,1,0,Classroom,0,global,30,30,11,5,6,19,25,9,3,0,0,0,0,28,22,0,0,0,0
2025-11-04T11:27:37.441321Z,137,1,0,Classroom,0,global,30,30,11,4,6,17,25,8,4,0,0,0,0,25,20,0,0,0,0
2025-11-04T11:27:37.566207Z,138,1,0,Classroom,0,global,30,30,11,4,6,17,26,8,5,0,0,0,0,22,21,0,0,0,0
2025-11-04T11:27:37.689247Z,139,1,0,Classroom,0,global,30,30,12,5,6,19,26,8,4,0,0,0,0,19,19,0,0,0,0
2025-11-04T11:27:37.814612Z,140,1,0,Classroom,0,global,30,30,14,5,7,24,31,9,6,0,0,0,0,18,22,0,0,0,0
2025-11-04T11:27:37.947033Z,141,1,0,Classroom,0,global,30,30,15,5,8,29,32,10,6,0,0,0,0,21,23,0,0,0,0
2025-11-04T11:27:38.084544Z,142,1,0,Classroom,0,global,30,30,17,6,8,34,36,11,7,0,0,0,0,24,26,0,0,0,0
2025-11-04T11:27:38.210651Z,143,1,0,Classroom,0,global,30,30,18,6,8,38,35,12,7,0,0,0,0,27,27,0,0,0,0
2025-11-04T11:27:38.335126Z,144,1,0,Classroom,0,global,30,30,21,7,9,48,38,15,8,0,0,0,0,30,30,0,0,0,0
2025-11-04T11:27:38.457020Z,145,1,0,Classroom,0,global,30,30,20,6,9,46,35,15,6,0,0,0,0,33,30,0,0,0,0
2025-11-04T11:27:38.583764Z,146,1,0,Classroom,0,global,30,30,18,6,8,39,34,13,6,0,0,0,0,36,31,0,0,0,0
2025-11-04T11:27:38.709895Z,147,1,0,Classroom,0,global,30,30,15,6,7,32,30,11,4,0,0,0,0,33,29,0,0,0,0
2025-11-04T11:27:38.834761Z,148,1,0,Classroom,0,global,30,30,14,5,7,27,29,10,4,0,0,0,0,33,30,0,0,0,0
2025-11-04T11:27:38.957475Z,149,1,0,Classroom,0,global,30,30,12,5,6,22,25,9,3,0,0,0,0,30,27,0,0,0,0
2025-11-04T11:27:39.082379Z,150,1,0,Classroom,0,global,30,30,5,2,2,6,13,6,3,0,0,0,0,27,24,0,0,0,0
2025-11-04T11:27:39.206420Z,151,1,0,Classroom,0,global,30,30,0,0,0,0,0,0,0,0,0,0,0,24,21,0,0,0,0
2025-11-04T11:27:39.331219Z,152,1,0,Classroom,0,global,30,30,0,0,0,0,0,0,0,0,0,0,0,21,18,0,0,0,0
2025-11-04T11:27:39.463903Z,153,1,0,Classroom,0,global,30,30,0,0,0,0,0,0,0,0,0,0,0,18,15,0,0,0,0
2025-11-04T11:27:39.595117Z,154,1,0,Classroom,0,global,30,30,0,0,0,0,0,0,0,0,0,0,0,15,12,0,0,0,0
2025-11-04T11:27:39.713815Z,155,1,0,Classroom,0,global,30,30,0,0,0,0,0,0,0,0,0,0,0,12,9,0,0,0,0
2025-11-04T11:27:39.834949Z,156,1,0,Classroom,0,global,30,30,0,0,0,0,0,0,0,0,0,0,0,9,6,0,0,0,0
2025-11-04T11:27:39.953134Z,157,1,0,Classroom,0,global,30,30,0,0,0,1,0,0,0,0,0,0,0,6,3,0,0,0,0
2025-11-04T11:27:40.073982Z,158,1,0,Classroom,0,global,30,30,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0
2025-11-04T11:27:40.192511Z,159,1,0,Classroom,0,global,30,30,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
2025-11-04T11:27:40.311024Z,160,1,0,Classroom,0,global,30,30,1,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0
2025-11-04T11:27:40.431767Z,161,1,0,Classroom,0,global,30,30,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0
2025-11-04T11:27:40.551996Z,162,1,0,Classroom,0,global,30,30,1,0,0,2,1,1,2,0,0,0,0,0,0,0,0,0,0
2025-11-04T11:27:40.669533Z,163,1,0,Classroom,0,global,30,30,1,0,0,3,1,1,2,0,0,0,0,0,0,0,0,0,0
2025-11-04T11:27:40.791720Z,164,1,0,Classroom,0,global,30,30,1,0,0,3,1,1,2,0,0,0,0,0,0,0,0,0,0
2025-11-04T11:27:40.910618Z,165,1,0,Classroom,0,global,30,30,1,0,0,3,1,1,2,0,0,0,0,0,0,0,0,0,0
2025-11-04T11:27:41.035031Z,166,1,0,Classroom,0,global,30,30,1,0,0,3,1,1,2,0,0,0,0,0,0,0,0,0,0
2025-11-04T11:27:41.153251Z,167,1,0,Classroom,0,global,30,30,1,0,0,3,1,1,2,0,0,0,0,0,0,0,0,0,0
2025-11-04T11:27:41.273858Z,168,1,0,Classroom,0,global,30,30,1,0,0,3,1,1,2,0,0,0,0,0,0,0,0,0,0
2025-11-04T11:27:41.394338Z,169,1,0,Classroom,0,global,30,30,1,0,0,3,1,1,2,0,0,0,0,0,0,0,0,0,0
2025-11-04T11:27:41.514053Z,170,1,0,Classroom,0,global,30,30,1,0,0,3,1,1,2,0,0,0,0,0,0,0,0,0,0
2025-11-04T11:27:41.633061Z,171,1,0,Classroom,0,global,30,30,1,0,0,3,1,1,2,0,0,0,0,0,0,0,0,0,0
2025-11-04T11:27:41.753749Z,172,1,0,Classroom,0,global,30,30,1,0,0,3,1,1,2,0,0,0,0,0,0,0,0,0,0
2025-11-04T11:27:41.873443Z,173,1,0,Classroom,0,global,30,30,1,0,0,3,1,1,2,0,0,0,0,0,0,0,0,0,0
