# started_utc=2025-11-04T11:32:27.651693Z
# rows=3
# cols=2
# threshold_init=30
# threshold_mode_init=global
t_iso,loop_idx,auto_mode,dn_state,profile,exposure_locked,exposure_ms,exposure_gain,threshold_mode,threshold_value,dark_cutoff,overall_dark,S00_dark,S01_dark,S10_dark,S11_dark,S20_dark,S21_dark,DAC_HF1,DAC_HF2,DAC_HS11,DAC_HS12,DAC_HS21,DAC_HS22,DAC_LF1,DAC_LF2,DAC_LS1,DAC_LS2
2025-11-04T11:32:36.910229Z,72,1,0,Classroom,1,8.0,,global,30,30,33,8,13,71,50,36,18,42,72,2,35,78,78,42,60,0,18
2025-11-04T11:32:37.029524Z,73,1,0,Classroom,1,8.0,,global,30,30,33,8,14,72,50,37,20,45,75,0,32,81,81,45,57,0,15
2025-11-04T11:32:37.150010Z,74,1,0,Classroom,1,8.0,,global,30,30,31,8,12,71,48,34,15,48,77,0,29,84,84,48,54,0,12
2025-11-04T11:32:37.269333Z,75,1,0,Classroom,1,8.0,,global,30,30,28,7,11,67,45,29,10,51,74,0,26,87,87,51,51,0,9
2025-11-04T11:32:37.390438Z,76,1,0,Classroom,1,8.0,,global,30,30,28,7,11,68,45,27,10,54,71,0,23,90,90,54,48,0,6
2025-11-04T11:32:37.509448Z,77,1,0,Classroom,1,8.0,,global,30,30,27,8,11,67,44,24,9,57,68,0,20,93,93,57,45,0,3
2025-11-04T11:32:37.630849Z,78,1,0,Classroom,1,8.0,,global,30,30,26,7,11,65,44,19,8,60,65,0,17,96,96,60,42,0,0
2025-11-04T11:32:37.750262Z,79,1,0,Classroom,1,8.0,,global,30,30,24,7,11,60,42,16,6,63,62,0,14,99,99,57,39,0,0
2025-11-04T11:32:37.871168Z,80,1,0,Classroom,1,8.0,,global,30,30,23,7,10,59,42,15,6,66,59,0,11,102,102,54,36,0,0
2025-11-04T11:32:37.991330Z,81,1,0,Classroom,1,8.0,,global,30,30,26,8,12,63,46,18,12,69,56,0,8,105,105,51,33,0,0
2025-11-04T11:32:38.110692Z,82,1,0,Classroom,1,8.0,,global,30,30,25,7,12,56,46,14,13,72,53,0,5,108,108,48,30,0,0
2025-11-04T11:32:38.228141Z,83,1,0,Classroom,1,8.0,,global,30,30,23,7,11,50,44,12,13,75,50,0,2,111,111,45,27,0,0
2025-11-04T11:32:38.344995Z,84,1,0,Classroom,1,8.0,,global,30,30,20,6,11,41,43,9,12,72,47,0,0,114,114,42,24,0,0
2025-11-04T11:32:38.464647Z,85,1,0,Classroom,1,8.0,,global,30,30,19,6,10,36,42,8,12,69,44,0,0,117,117,39,21,0,0
2025-11-04T11:32:38.585296Z,86,1,0,Classroom,1,8.0,,global,30,30,17,6,9,28,40,7,10,66,41,0,0,120,120,36,18,0,0
2025-11-04T11:32:38.705759Z,87,1,0,Classroom,1,8.0,,global,30,30,16,6,9,28,39,7,10,63,38,0,0,123,123,33,15,0,0
